Technique ID,Datasource IDs
`T1595 <https://attack.mitre.org/techniques/T1595>`_,DS0029
`T1595.001 <https://attack.mitre.org/techniques/T1595/001>`_,DS0029
`T1585 <https://attack.mitre.org/techniques/T1585>`_,"DS0029, DS0021"
`T1078 <https://attack.mitre.org/techniques/T1078>`_,"DS0028, DS0002"
`T1078.002 <https://attack.mitre.org/techniques/T1078/002>`_,"DS0002, DS0028"
`T1106 <https://attack.mitre.org/techniques/T1106>`_,"DS0009, DS0011"
`T1136 <https://attack.mitre.org/techniques/T1136>`_,"DS0009, DS0017, DS0002"
`T1136.001 <https://attack.mitre.org/techniques/T1136/001>`_,"DS0002, DS0009, DS0017"
`T1546 <https://attack.mitre.org/techniques/T1546>`_,"DS0011, DS0005, DS0022, DS0024, DS0017, DS0025, DS0009"
`T1546.003 <https://attack.mitre.org/techniques/T1546/003>`_,"DS0009, DS0017, DS0005"
`T1133 <https://attack.mitre.org/techniques/T1133>`_,"DS0029, DS0028, DS0015"
`T1078 <https://attack.mitre.org/techniques/T1078>`_,"DS0028, DS0002"
`T1078.004 <https://attack.mitre.org/techniques/T1078/004>`_,"DS0002, DS0028"
`T1078.002 <https://attack.mitre.org/techniques/T1078/002>`_,"DS0002, DS0028"
`T1548 <https://attack.mitre.org/techniques/T1548>`_,"DS0009, DS0002, DS0017, DS0022, DS0024"
`T1562 <https://attack.mitre.org/techniques/T1562>`_,"DS0022, DS0025, DS0018, DS0017, DS0012, DS0009, DS0024, DS0019, DS0002, DS0013, DS0027"
`T1562.001 <https://attack.mitre.org/techniques/T1562/001>`_,"DS0013, DS0009, DS0019, DS0024, DS0017, DS0027"
`T1070 <https://attack.mitre.org/techniques/T1070>`_,"DS0003, DS0022, DS0018, DS0002, DS0009, DS0015, DS0017, DS0024, DS0029"
`T1070.001 <https://attack.mitre.org/techniques/T1070/001>`_,"DS0017, DS0022, DS0009"
`T1070.004 <https://attack.mitre.org/techniques/T1070/004>`_,"DS0017, DS0022"
`T1036 <https://attack.mitre.org/techniques/T1036>`_,"DS0022, DS0009, DS0019, DS0007, DS0003, DS0017"
`T1027 <https://attack.mitre.org/techniques/T1027>`_,"DS0005, DS0012, DS0022, DS0011, DS0017, DS0009, DS0024"
`T1078 <https://attack.mitre.org/techniques/T1078>`_,"DS0028, DS0002"
`T1078.002 <https://attack.mitre.org/techniques/T1078/002>`_,"DS0002, DS0028"
`T1555 <https://attack.mitre.org/techniques/T1555>`_,"DS0022, DS0017, DS0009, DS0025"
`T1555.005 <https://attack.mitre.org/techniques/T1555/005>`_,"DS0009, DS0022, DS0017"
`T1046 <https://attack.mitre.org/techniques/T1046>`_,"DS0029, DS0017, DS0025"
`T1135 <https://attack.mitre.org/techniques/T1135>`_,"DS0009, DS0017"
`T1210 <https://attack.mitre.org/techniques/T1210>`_,"DS0029, DS0015"
`T1021 <https://attack.mitre.org/techniques/T1021>`_,"DS0011, DS0029, DS0017, DS0033, DS0005, DS0028, DS0009"
`T1021.001 <https://attack.mitre.org/techniques/T1021/001>`_,"DS0029, DS0028, DS0009"
`T1021.004 <https://attack.mitre.org/techniques/T1021/004>`_,"DS0028, DS0009, DS0029"
`T1560 <https://attack.mitre.org/techniques/T1560>`_,"DS0017, DS0012, DS0009, DS0022"
`T1560.001 <https://attack.mitre.org/techniques/T1560/001>`_,"DS0009, DS0017, DS0022"
`T1119 <https://attack.mitre.org/techniques/T1119>`_,"DS0017, DS0022, DS0012"
`T1213 <https://attack.mitre.org/techniques/T1213>`_,"DS0028, DS0015"
`T1213.003 <https://attack.mitre.org/techniques/T1213/003>`_,"DS0015, DS0028"
`T1213.002 <https://attack.mitre.org/techniques/T1213/002>`_,"DS0028, DS0015"
`T1005 <https://attack.mitre.org/techniques/T1005>`_,"DS0009, DS0012, DS0017, DS0022"
`T1074 <https://attack.mitre.org/techniques/T1074>`_,"DS0022, DS0024, DS0017"
`T1074.001 <https://attack.mitre.org/techniques/T1074/001>`_,"DS0022, DS0024, DS0017"
`T1114 <https://attack.mitre.org/techniques/T1114>`_,"DS0028, DS0015, DS0029, DS0022, DS0017"
`T1114.001 <https://attack.mitre.org/techniques/T1114/001>`_,"DS0022, DS0017"
`T1219 <https://attack.mitre.org/techniques/T1219>`_,"DS0009, DS0029"
`T1048 <https://attack.mitre.org/techniques/T1048>`_,"DS0010, DS0029, DS0017, DS0015, DS0022"
`T1048.001 <https://attack.mitre.org/techniques/T1048/001>`_,"DS0029, DS0017, DS0022"
`T1011 <https://attack.mitre.org/techniques/T1011>`_,"DS0029, DS0022, DS0017"
`T1011.001 <https://attack.mitre.org/techniques/T1011/001>`_,"DS0029, DS0017, DS0022"
`T1052 <https://attack.mitre.org/techniques/T1052>`_,"DS0022, DS0016, DS0009, DS0017"
`T1052.001 <https://attack.mitre.org/techniques/T1052/001>`_,"DS0009, DS0016, DS0022, DS0017"
`T1567 <https://attack.mitre.org/techniques/T1567>`_,"DS0029, DS0017, DS0022, DS0015"
`T1567.002 <https://attack.mitre.org/techniques/T1567/002>`_,"DS0029, DS0022, DS0017"
`T1485 <https://attack.mitre.org/techniques/T1485>`_,"DS0020, DS0009, DS0022, DS0007, DS0030, DS0034, DS0010, DS0017"
`T1529 <https://attack.mitre.org/techniques/T1529>`_,"DS0009, DS0013, DS0017"
`T1589 <https://attack.mitre.org/techniques/T1589>`_,DS0029
`T1650 <https://attack.mitre.org/techniques/T1650>`_,
`T1588 <https://attack.mitre.org/techniques/T1588>`_,"DS0037, DS0004, DS0035"
`T1588.002 <https://attack.mitre.org/techniques/T1588/002>`_,DS0004
`T1199 <https://attack.mitre.org/techniques/T1199>`_,"DS0028, DS0029, DS0015"
`T1098 <https://attack.mitre.org/techniques/T1098>`_,"DS0017, DS0009, DS0026, DS0022, DS0036, DS0002"
`T1098.005 <https://attack.mitre.org/techniques/T1098/005>`_,"DS0015, DS0026, DS0002"
`T1070 <https://attack.mitre.org/techniques/T1070>`_,"DS0003, DS0022, DS0018, DS0002, DS0009, DS0015, DS0017, DS0024, DS0029"
`T1078.001 <https://attack.mitre.org/techniques/T1078/001>`_,"DS0028, DS0002"
`T1552 <https://attack.mitre.org/techniques/T1552>`_,"DS0024, DS0015, DS0017, DS0009, DS0022, DS0002"
`T1552.008 <https://attack.mitre.org/techniques/T1552/008>`_,DS0015
`T1046 <https://attack.mitre.org/techniques/T1046>`_,"DS0029, DS0017, DS0025"
`T1016 <https://attack.mitre.org/techniques/T1016>`_,"DS0017, DS0012, DS0009"
`T1016.001 <https://attack.mitre.org/techniques/T1016/001>`_,"DS0009, DS0017"
`T1039 <https://attack.mitre.org/techniques/T1039>`_,"DS0033, DS0017, DS0029, DS0022"
`T1113 <https://attack.mitre.org/techniques/T1113>`_,"DS0017, DS0009"
`T1565 <https://attack.mitre.org/techniques/T1565>`_,"DS0009, DS0029, DS0022"
`T1565.001 <https://attack.mitre.org/techniques/T1565/001>`_,DS0022
`T1561 <https://attack.mitre.org/techniques/T1561>`_,"DS0027, DS0016, DS0017, DS0009"
`T1561.001 <https://attack.mitre.org/techniques/T1561/001>`_,"DS0016, DS0027, DS0017, DS0009"
`T1657 <https://attack.mitre.org/techniques/T1657>`_,DS0015
`T1496 <https://attack.mitre.org/techniques/T1496>`_,"DS0029, DS0022, DS0013, DS0009, DS0017"
